onset	duration	imageid
8	4	296257
12	4	356261
16	4	144705
20	4	287239
24	4	44260
28	4	326350
32	4	527059
36	4	532810
40	4	170780
48	4	355425
52	4	24516
60	4	428780
64	4	459668
72	4	455400
76	4	270812
80	4	480780
84	4	262229
88	4	291298
92	4	504657
96	4	127932
100	4	191283
104	4	494382
108	4	379085
112	4	203069
116	4	371051
120	4	543882
124	4	454898
128	4	521048
132	4	486571
136	4	455370
140	4	144224
144	4	489849
148	4	243173
152	4	71558
160	4	552791
164	4	483767
168	4	288340
172	4	523981
176	4	153016
180	4	258119
184	4	232762
188	4	175227
192	4	570386
196	4	287386
200	4	438038
204	4	343185
208	4	154119
212	4	239352
216	4	438024
220	4	288453
224	4	369058
228	4	236762
232	4	239101
236	4	505226
240	4	569017
244	4	479941
248	4	275406
252	4	487020
256	4	292118
260	4	37871
264	4	149376
268	4	299972
272	4	394501
276	4	484721
284	4	379842
288	4	10495
292	4	94863
296	4	497621
300	4	327738
304	4	352410
308	4	310134
312	4	414982
316	4	350879
324	4	299382
328	4	244003
332	4	384335
336	4	307497
340	4	368875
344	4	576827
348	4	104277
352	4	521231
356	4	393288
360	4	9381
364	4	202672
368	4	536073
