onset	duration	imageid
8	4	447135
12	4	336643
16	4	292034
20	4	276631
24	4	242979
32	4	280310
36	4	487153
40	4	308073
44	4	178771
48	4	167171
52	4	515823
56	4	307686
60	4	352802
64	4	312890
68	4	511694
72	4	557045
80	4	306878
84	4	290584
88	4	264804
92	4	196843
96	4	177394
100	4	282032
104	4	259658
108	4	229357
112	4	564532
116	4	296169
120	4	285817
124	4	435975
128	4	367329
132	4	434379
136	4	389445
140	4	453762
144	4	160772
148	4	242153
152	4	478922
156	4	370130
160	4	326445
164	4	453779
168	4	386154
172	4	174964
176	4	388057
180	4	389404
184	4	492383
188	4	288586
196	4	2592
200	4	179814
204	4	18918
208	4	334883
212	4	324785
216	4	134506
220	4	528862
224	4	516190
228	4	408815
232	4	223467
236	4	312608
244	4	253699
248	4	314408
252	4	581903
256	4	263582
260	4	313256
264	4	175731
268	4	543684
272	4	567633
276	4	313097
280	4	325665
284	4	342476
288	4	235812
296	4	557114
300	4	563809
304	4	318630
308	4	230639
312	4	365485
316	4	146332
320	4	423944
324	4	233112
328	4	526861
332	4	430254
336	4	260172
340	4	298060
344	4	487399
348	4	191473
352	4	29397
356	4	378873
360	4	169845
368	4	226059
