onset	duration	imageid
8	4	242506
12	4	139095
16	4	291066
20	4	463151
24	4	358252
28	4	363058
32	4	293108
36	4	572732
40	4	336257
44	4	340941
48	4	441464
52	4	174004
56	4	312199
60	4	1264
64	4	490629
68	4	14432
72	4	329756
76	4	515695
80	4	207289
84	4	212800
88	4	200231
92	4	334109
96	4	340964
100	4	207455
104	4	148772
108	4	44279
112	4	378672
116	4	534220
120	4	205116
124	4	532411
128	4	423630
132	4	260034
136	4	534131
140	4	336958
144	4	432339
148	4	511963
152	4	534094
156	4	418070
160	4	244712
168	4	20571
172	4	407825
176	4	317223
180	4	454832
188	4	407037
192	4	22747
196	4	311763
200	4	416440
204	4	494552
208	4	395863
212	4	270906
216	4	559427
220	4	188454
224	4	547318
228	4	172187
232	4	119923
236	4	193867
240	4	306975
244	4	573484
248	4	572173
252	4	366071
256	4	451228
260	4	292249
264	4	332931
268	4	281564
272	4	18824
276	4	4571
280	4	4415
288	4	298726
292	4	325416
300	4	18737
304	4	428485
308	4	509609
312	4	243219
316	4	367786
320	4	333550
324	4	293820
328	4	278258
332	4	341348
336	4	153604
340	4	133210
348	4	302222
356	4	263042
360	4	253030
364	4	196663
368	4	22623
