onset	duration	imageid
8	4	509485
12	4	276381
16	4	422706
20	4	18380
24	4	425691
28	4	539962
32	4	283678
36	4	471991
40	4	10405
52	4	452058
60	4	113051
64	4	253971
68	4	149440
76	4	427308
80	4	517878
84	4	333088
88	4	372489
92	4	489983
96	4	442774
100	4	391460
104	4	288000
108	4	517910
112	4	544130
116	4	324500
120	4	324104
124	4	560238
128	4	271900
136	4	254779
140	4	307082
144	4	178715
148	4	333848
152	4	297669
156	4	346450
160	4	558551
164	4	339491
172	4	150821
176	4	185108
180	4	336568
184	4	303870
188	4	180362
192	4	384302
196	4	131967
200	4	31250
204	4	489995
208	4	288814
212	4	405060
216	4	570463
220	4	410585
224	4	74302
228	4	221621
232	4	297683
236	4	509626
240	4	472841
244	4	325220
248	4	12748
252	4	290246
256	4	292330
260	4	212203
264	4	550529
268	4	275922
272	4	260439
276	4	508008
280	4	405226
284	4	418701
288	4	518357
292	4	309633
296	4	399028
300	4	181462
304	4	425577
308	4	554699
312	4	396661
316	4	299325
320	4	503961
324	4	274091
328	4	228246
332	4	152000
336	4	310419
340	4	560254
344	4	519479
348	4	549003
352	4	482514
356	4	196311
360	4	482829
364	4	186938
368	4	519617
