onset	duration	imageid
8	4	338357
12	4	396741
16	4	467468
20	4	365446
24	4	84664
28	4	498555
32	4	391480
36	4	493300
40	4	152771
44	4	575406
52	4	183788
60	4	207728
64	4	433652
68	4	297600
72	4	7444
76	4	108244
80	4	172255
84	4	473015
88	4	204216
92	4	383513
96	4	528399
100	4	453409
108	4	5180
112	4	151184
116	4	471468
120	4	293252
124	4	313928
128	4	526256
132	4	44763
136	4	552990
140	4	399600
144	4	502197
148	4	418305
152	4	538236
156	4	293412
160	4	554556
164	4	492151
168	4	5001
172	4	358287
176	4	532403
180	4	533568
184	4	441544
188	4	259753
192	4	264250
196	4	209068
200	4	468133
212	4	426166
216	4	398438
220	4	194669
224	4	31050
228	4	491577
232	4	324082
236	4	347936
240	4	201249
244	4	331146
248	4	174137
252	4	239243
256	4	324492
260	4	393576
264	4	243504
268	4	398633
272	4	435272
276	4	359546
280	4	3845
284	4	265187
288	4	254997
292	4	173422
296	4	526321
300	4	477634
304	4	239509
308	4	204256
312	4	440698
316	4	223739
324	4	222991
328	4	338134
332	4	402097
336	4	301602
340	4	502792
344	4	271051
348	4	402957
352	4	502136
356	4	192581
360	4	161352
364	4	539439
368	4	432008
