onset	duration	cueid	targetid
8	4	61	13471
20	4	74	58248
28	4	63	361460
36	4	78	164772
48	4	76	60467
56	4	79	313428
64	4	75	60394
72	4	67	571516
80	4	73	48263
88	4	64	364044
96	4	80	357254
104	4	69	578769
112	4	72	42479
120	4	66	465559
128	4	71	36482
140	4	65	364252
148	4	77	75132
160	4	62	350644
168	4	70	36237
176	4	68	578231
192	4	70	36237
200	4	67	571516
208	4	65	364252
220	4	68	578231
228	4	66	465559
236	4	75	60394
244	4	77	75132
256	4	69	578769
264	4	62	350644
276	4	61	13471
288	4	78	164772
296	4	73	48263
304	4	72	42479
312	4	80	357254
320	4	79	313428
328	4	64	364044
336	4	74	58248
344	4	63	361460
352	4	71	36482
360	4	76	60467
