onset	duration	cueid	targetid
8	4	72	42479
16	4	66	465559
28	4	79	313428
40	4	77	75132
48	4	69	578769
56	4	67	571516
64	4	73	48263
72	4	61	13471
84	4	65	364252
92	4	68	578231
100	4	76	60467
108	4	71	36482
120	4	64	364044
128	4	63	361460
140	4	70	36237
148	4	80	357254
156	4	78	164772
164	4	75	60394
172	4	74	58248
180	4	62	350644
188	4	68	578231
196	4	80	357254
204	4	67	571516
212	4	72	42479
220	4	76	60467
228	4	75	60394
236	4	63	361460
244	4	69	578769
252	4	74	58248
264	4	79	313428
276	4	77	75132
284	4	62	350644
292	4	78	164772
304	4	66	465559
316	4	71	36482
324	4	70	36237
332	4	73	48263
340	4	65	364252
352	4	61	13471
360	4	64	364044
