onset	duration	cueid	targetid
8	4	99	159446
20	4	100	347926
32	4	95	69983
40	4	89	576695
48	4	88	467461
56	4	97	81556
64	4	94	58690
72	4	91	36953
80	4	90	36382
92	4	82	173053
100	4	86	367835
108	4	98	158757
116	4	84	359947
124	4	81	11519
132	4	93	54869
144	4	92	37210
156	4	85	367743
164	4	83	349512
172	4	96	72740
180	4	87	367959
188	4	87	367959
196	4	100	347926
204	4	83	349512
212	4	99	159446
224	4	85	367743
236	4	98	158757
244	4	97	81556
252	4	92	37210
264	4	89	576695
272	4	96	72740
284	4	84	359947
292	4	91	36953
300	4	90	36382
308	4	94	58690
316	4	86	367835
324	4	93	54869
332	4	82	173053
340	4	81	11519
352	4	88	467461
360	4	95	69983
