onset	duration	cueid	targetid
12	4	30	5469
24	4	31	6871
32	4	34	8228
40	4	37	8920
52	4	39	9846
60	4	35	8351
68	4	24	13420
76	4	27	15546
84	4	26	14592
96	4	28	26362
104	4	22	9929
112	4	36	8385
120	4	32	7685
132	4	29	32675
140	4	33	7988
148	4	40	10870
156	4	25	14036
164	4	21	2315
172	4	38	9016
180	4	23	11336
192	4	29	32675
204	4	39	9846
212	4	21	2315
224	4	26	14592
232	4	34	8228
240	4	32	7685
252	4	25	14036
260	4	24	13420
268	4	31	6871
276	4	33	7988
284	4	40	10870
292	4	27	15546
300	4	23	11336
308	4	22	9929
320	4	36	8385
328	4	37	8920
336	4	38	9016
344	4	35	8351
352	4	30	5469
360	4	28	26362
