onset	duration	imageid
8	4	5435
12	4	520310
16	4	433310
20	4	253415
28	4	95677
32	4	579487
36	4	506439
40	4	785
44	4	293340
48	4	76978
52	4	289689
56	4	333538
60	4	281196
68	4	513616
72	4	167708
76	4	300273
80	4	11805
84	4	180362
88	4	253489
92	4	140286
96	4	361332
100	4	284279
104	4	322325
108	4	176031
116	4	340108
120	4	508215
124	4	340923
132	4	287958
136	4	438024
140	4	473438
144	4	468604
148	4	555571
152	4	253483
156	4	486187
160	4	489369
164	4	430850
168	4	544094
172	4	347727
180	4	549003
184	4	419483
188	4	411492
192	4	426329
196	4	141965
200	4	385317
204	4	134510
208	4	153016
212	4	240227
216	4	393094
224	4	110704
228	4	200324
232	4	10583
236	4	443545
240	4	284552
244	4	169517
248	4	569747
252	4	281615
256	4	539335
260	4	388057
264	4	538547
268	4	308950
272	4	325903
276	4	381957
280	4	242665
284	4	524456
288	4	62531
292	4	318726
296	4	467646
300	4	328957
304	4	418054
308	4	287239
312	4	396287
316	4	556370
320	4	208773
324	4	310278
328	4	439465
332	4	544250
336	4	513692
340	4	195420
344	4	408808
348	4	131816
352	4	276437
356	4	461224
360	4	427868
364	4	358252
368	4	266623
