onset	duration	imageid
8	4	468095
12	4	124197
16	4	200231
20	4	95202
24	4	23066
28	4	278797
32	4	417160
36	4	322352
40	4	61171
44	4	9865
48	4	44877
52	4	127726
60	4	329078
64	4	533739
68	4	142470
72	4	171086
76	4	275922
80	4	279661
84	4	196313
88	4	148181
92	4	124311
96	4	492151
100	4	315257
104	4	261316
108	4	137576
112	4	402992
116	4	254123
120	4	99581
124	4	490057
128	4	104277
132	4	288769
136	4	510626
144	4	395957
148	4	520321
152	4	518834
156	4	400860
160	4	539397
164	4	181149
168	4	473705
172	4	365624
176	4	429408
180	4	468182
184	4	299933
188	4	307721
192	4	211303
196	4	193785
200	4	313002
204	4	581903
208	4	558748
212	4	311180
220	4	292183
224	4	322392
228	4	289693
232	4	263042
236	4	246982
240	4	256576
244	4	299959
248	4	454210
252	4	402505
256	4	197812
260	4	324082
264	4	554658
268	4	124636
272	4	432349
276	4	295999
280	4	150385
284	4	173391
288	4	495395
292	4	228436
300	4	395096
304	4	308328
308	4	545107
312	4	492261
316	4	565756
324	4	144695
328	4	576871
332	4	266271
336	4	532947
340	4	297906
344	4	451522
348	4	319615
356	4	71563
360	4	337011
364	4	276763
368	4	482444
