onset	duration	imageid
8	4	204256
16	4	552112
20	4	418229
24	4	515823
28	4	214280
32	4	412616
36	4	393534
40	4	246248
44	4	230213
48	4	242537
52	4	872
56	4	534189
60	4	351149
64	4	18136
68	4	170012
72	4	230627
76	4	475660
80	4	426795
84	4	150367
88	4	262442
92	4	30828
96	4	148772
100	4	233075
104	4	343349
108	4	274792
112	4	243839
116	4	420396
120	4	449958
124	4	5180
128	4	31050
132	4	370162
136	4	178874
140	4	496517
144	4	133645
148	4	169907
152	4	180208
156	4	263383
164	4	371359
168	4	504065
172	4	260741
176	4	140831
184	4	223458
188	4	256513
192	4	413115
196	4	243792
200	4	479929
204	4	348197
208	4	393288
212	4	526892
216	4	470821
220	4	384661
224	4	73174
228	4	280007
232	4	310376
236	4	508482
240	4	276768
248	4	327404
252	4	499951
256	4	391480
264	4	35434
268	4	154204
272	4	11615
280	4	457169
284	4	188440
288	4	440160
292	4	285727
296	4	312907
300	4	229191
304	4	439855
308	4	298591
312	4	209763
316	4	376941
320	4	301602
324	4	472678
328	4	312937
332	4	575406
336	4	265826
340	4	371176
344	4	254005
348	4	509339
352	4	311822
356	4	212011
360	4	234424
364	4	293860
368	4	182645
