onset	duration	imageid
8	4	342126
12	4	396420
16	4	490008
20	4	443363
24	4	138547
28	4	393125
32	4	329942
36	4	517005
40	4	445395
44	4	335415
48	4	560818
52	4	1785
56	4	331799
60	4	385674
64	4	15485
68	4	174889
72	4	191078
76	4	381031
80	4	182673
84	4	464440
88	4	351875
92	4	4463
96	4	219472
100	4	513968
104	4	281177
108	4	313002
112	4	25195
116	4	473121
120	4	211048
124	4	326325
128	4	451490
136	4	320015
140	4	497628
144	4	392839
148	4	254609
152	4	229132
156	4	464444
160	4	288921
164	4	241025
168	4	43190
172	4	172617
176	4	489470
184	4	525555
188	4	355677
192	4	515885
196	4	201035
200	4	461450
204	4	379317
208	4	573981
212	4	184201
216	4	168690
220	4	244878
224	4	511111
232	4	354235
236	4	175210
240	4	303069
248	4	555748
252	4	246275
256	4	468341
260	4	544250
264	4	410487
268	4	218249
272	4	423850
276	4	572795
280	4	512194
284	4	464689
288	4	193986
292	4	393508
296	4	433915
304	4	388766
308	4	521739
312	4	256720
316	4	78447
320	4	142649
328	4	581223
332	4	427886
336	4	280823
340	4	505611
344	4	533872
348	4	430455
352	4	287136
356	4	393159
360	4	449826
364	4	511752
368	4	176945
