onset	duration	cueid	targetid
8	4	15	1888
16	4	16	5131
24	4	6	26363
32	4	13	1505
44	4	19	7096
56	4	3	15259
64	4	9	33992
72	4	5	19675
80	4	14	1674
88	4	4	18658
100	4	12	984
108	4	11	939
116	4	18	5669
128	4	10	839
136	4	2	8746
148	4	1	540
156	4	20	11766
164	4	7	27691
172	4	17	5184
180	4	8	31597
192	4	1	540
200	4	14	1674
212	4	11	939
220	4	9	33992
228	4	15	1888
236	4	12	984
244	4	10	839
252	4	4	18658
260	4	16	5131
272	4	3	15259
280	4	20	11766
288	4	5	19675
296	4	2	8746
304	4	7	27691
316	4	8	31597
324	4	18	5669
336	4	17	5184
344	4	19	7096
352	4	13	1505
360	4	6	26363
