onset	duration	imageid
8	4	456275
12	4	500044
16	4	338475
20	4	314447
24	4	410114
28	4	395973
32	4	175000
36	4	184914
40	4	124636
44	4	469844
48	4	304150
52	4	337011
56	4	269827
60	4	392747
64	4	211593
68	4	510144
72	4	404565
76	4	223130
80	4	365657
84	4	115331
88	4	438448
92	4	163047
96	4	383406
100	4	203333
104	4	123585
108	4	131444
112	4	243792
116	4	320659
120	4	542211
128	4	160311
132	4	528541
136	4	538814
140	4	415828
144	4	490708
148	4	494852
152	4	295194
156	4	209731
160	4	568982
164	4	438737
168	4	530896
172	4	331085
176	4	229821
180	4	439855
184	4	533532
188	4	445305
192	4	180824
196	4	237271
200	4	393121
204	4	344288
212	4	199427
216	4	174098
220	4	515660
224	4	207117
228	4	551794
232	4	268793
236	4	365517
240	4	390515
244	4	233871
248	4	572536
252	4	200794
260	4	322844
264	4	451522
268	4	397121
272	4	555339
276	4	295809
280	4	167902
284	4	240323
288	4	555998
292	4	276239
296	4	518213
300	4	515390
304	4	52543
312	4	534564
320	4	400625
324	4	188518
328	4	402191
332	4	562174
336	4	325919
340	4	127517
344	4	180351
348	4	192866
352	4	482444
356	4	425722
364	4	371255
368	4	241221
