onset	duration	imageid
8	4	212800
12	4	160890
16	4	415716
20	4	199460
24	4	141518
28	4	496918
32	4	561911
36	4	283479
40	4	284814
44	4	570693
48	4	560629
52	4	482084
56	4	196255
60	4	165387
64	4	556399
72	4	579872
76	4	212203
80	4	288000
84	4	33813
88	4	533568
92	4	208727
96	4	33940
100	4	240185
108	4	197666
112	4	575964
116	4	388766
120	4	477700
124	4	520197
128	4	431598
132	4	455370
136	4	242216
140	4	359546
144	4	492489
148	4	46804
152	4	307757
156	4	408528
160	4	486921
164	4	386154
168	4	418115
172	4	278899
176	4	163297
180	4	261893
184	4	454858
188	4	507575
192	4	307686
196	4	184828
200	4	505552
204	4	202279
212	4	474637
216	4	202909
220	4	128256
224	4	77181
228	4	272899
232	4	510998
236	4	368066
240	4	340636
244	4	198930
248	4	407336
252	4	83540
256	4	534406
260	4	231272
264	4	373312
268	4	497621
276	4	315939
280	4	205121
284	4	522947
288	4	326445
296	4	311206
300	4	392364
304	4	307781
308	4	298793
312	4	118347
316	4	172420
320	4	488203
324	4	506066
328	4	320707
332	4	451184
336	4	193547
340	4	55299
344	4	281634
348	4	205861
352	4	529544
356	4	287519
360	4	418297
368	4	192954
