onset	duration	imageid
8	4	5601
12	4	499867
16	4	438038
20	4	170888
24	4	203069
32	4	29397
36	4	378672
40	4	280224
44	4	254585
48	4	442771
52	4	429991
56	4	297314
60	4	131967
64	4	281599
68	4	328999
72	4	260917
76	4	133609
80	4	343162
84	4	404758
88	4	538595
92	4	290951
96	4	326202
100	4	498601
108	4	203796
112	4	393125
116	4	116123
120	4	311056
124	4	412390
128	4	451960
132	4	185687
136	4	87862
140	4	316471
144	4	178748
148	4	191005
152	4	192581
160	4	22767
164	4	16072
168	4	230246
172	4	423693
176	4	301554
180	4	310978
184	4	117525
188	4	553370
192	4	493300
196	4	229825
200	4	192576
204	4	451024
208	4	534686
212	4	348083
216	4	205607
220	4	255076
224	4	267284
228	4	393394
232	4	489983
236	4	381998
244	4	298060
252	4	180354
256	4	442306
260	4	186632
264	4	391419
268	4	511694
272	4	144242
276	4	390593
280	4	147963
284	4	513149
288	4	92710
292	4	286550
296	4	330681
300	4	257302
304	4	253030
308	4	453166
312	4	130998
316	4	150838
320	4	311773
324	4	550815
328	4	373199
332	4	398367
340	4	23696
344	4	232551
348	4	530729
352	4	240967
356	4	168618
360	4	305905
364	4	377572
368	4	339796
