onset	duration	cueid	targetid
8	4	63	361460
16	4	78	164772
24	4	71	36482
36	4	72	42479
44	4	68	578231
56	4	65	364252
64	4	69	578769
72	4	61	13471
80	4	64	364044
88	4	80	357254
100	4	62	350644
108	4	66	465559
116	4	73	48263
124	4	74	58248
132	4	79	313428
144	4	75	60394
152	4	67	571516
160	4	70	36237
168	4	77	75132
176	4	76	60467
188	4	79	313428
196	4	76	60467
208	4	63	361460
216	4	71	36482
228	4	61	13471
236	4	77	75132
248	4	69	578769
256	4	67	571516
264	4	64	364044
272	4	80	357254
280	4	73	48263
288	4	68	578231
296	4	75	60394
304	4	65	364252
316	4	66	465559
324	4	70	36237
332	4	78	164772
340	4	62	350644
352	4	74	58248
360	4	72	42479
