onset	duration	cueid	targetid
12	4	70	36237
20	4	71	36482
28	4	63	361460
36	4	66	465559
44	4	67	571516
52	4	80	357254
64	4	64	364044
72	4	68	578231
80	4	79	313428
88	4	62	350644
100	4	78	164772
108	4	75	60394
116	4	72	42479
124	4	65	364252
136	4	74	58248
144	4	61	13471
156	4	69	578769
164	4	73	48263
172	4	77	75132
180	4	76	60467
192	4	74	58248
200	4	79	313428
208	4	72	42479
216	4	73	48263
228	4	76	60467
236	4	78	164772
244	4	69	578769
252	4	71	36482
264	4	64	364044
272	4	67	571516
280	4	63	361460
292	4	68	578231
300	4	61	13471
308	4	80	357254
316	4	75	60394
324	4	70	36237
332	4	62	350644
340	4	77	75132
348	4	65	364252
360	4	66	465559
