onset	duration	imageid
8	4	445325
12	4	84546
20	4	510313
24	4	225053
28	4	511165
32	4	219492
36	4	295753
40	4	394182
44	4	510594
48	4	281177
52	4	187181
56	4	494154
60	4	560152
64	4	340406
68	4	239158
72	4	330660
76	4	505133
80	4	147443
84	4	323789
88	4	192834
92	4	293418
100	4	41887
104	4	328589
108	4	223701
116	4	503682
120	4	478140
124	4	334109
128	4	308777
132	4	509587
136	4	97585
140	4	84664
144	4	412471
148	4	264476
152	4	375709
156	4	389464
160	4	297578
164	4	354035
168	4	412676
172	4	20515
176	4	177085
180	4	91463
184	4	246099
188	4	207330
192	4	14380
196	4	467157
200	4	203546
204	4	479729
208	4	513199
212	4	140817
216	4	256359
220	4	489514
224	4	507979
228	4	472348
232	4	322829
236	4	472030
240	4	149918
244	4	254703
248	4	336568
252	4	337068
256	4	553753
260	4	570608
264	4	489297
268	4	178770
272	4	510387
276	4	581909
280	4	367428
288	4	513242
292	4	309791
296	4	511111
300	4	445305
304	4	483849
308	4	478621
312	4	443940
316	4	204529
320	4	418701
324	4	462289
328	4	287285
336	4	355425
340	4	519075
344	4	174623
348	4	392839
352	4	17899
356	4	150821
360	4	256720
368	4	410144
