onset	duration	imageid
8	4	163727
12	4	359635
16	4	277659
20	4	458016
24	4	181769
28	4	386371
32	4	211303
36	4	344720
44	4	546824
48	4	263400
52	4	371029
56	4	507801
64	4	258085
68	4	491502
72	4	328957
76	4	51326
80	4	260034
84	4	460030
88	4	386164
92	4	341328
96	4	379035
100	4	450686
104	4	432569
108	4	473705
112	4	331146
116	4	432016
120	4	577669
124	4	322395
128	4	337826
132	4	577182
136	4	379308
140	4	279060
144	4	351530
148	4	154171
152	4	277688
156	4	559958
168	4	436023
176	4	331140
180	4	293980
184	4	118612
188	4	273198
192	4	286284
196	4	292081
200	4	10058
204	4	454086
208	4	47928
212	4	560489
216	4	196663
220	4	510997
224	4	382603
228	4	515572
232	4	422323
236	4	228558
240	4	37123
244	4	287318
248	4	378912
252	4	203511
256	4	501006
260	4	184611
264	4	214048
268	4	308476
272	4	240227
276	4	308263
280	4	348314
284	4	468778
288	4	264767
292	4	150541
296	4	33647
300	4	491653
304	4	62531
308	4	344288
312	4	226744
316	4	220376
320	4	183197
324	4	325206
328	4	430850
332	4	323592
336	4	507550
340	4	371472
344	4	312608
348	4	340697
356	4	9448
360	4	123321
364	4	29151
368	4	232670
