onset	duration	cueid	targetid
8	4	78	164772
16	4	70	36237
24	4	75	60394
36	4	79	313428
44	4	73	48263
52	4	71	36482
60	4	77	75132
68	4	72	42479
80	4	67	571516
88	4	74	58248
96	4	62	350644
104	4	64	364044
112	4	80	357254
124	4	66	465559
132	4	76	60467
140	4	63	361460
148	4	69	578769
160	4	65	364252
168	4	61	13471
180	4	68	578231
192	4	62	350644
200	4	64	364044
212	4	67	571516
220	4	74	58248
228	4	73	48263
236	4	78	164772
248	4	75	60394
260	4	80	357254
268	4	69	578769
276	4	71	36482
288	4	63	361460
296	4	79	313428
304	4	77	75132
312	4	76	60467
320	4	70	36237
328	4	66	465559
336	4	61	13471
344	4	65	364252
352	4	68	578231
360	4	72	42479
