onset	duration	cueid	targetid
8	4	9	33992
16	4	2	8746
24	4	14	1674
36	4	18	5669
44	4	10	839
52	4	16	5131
60	4	19	7096
68	4	3	15259
76	4	8	31597
88	4	1	540
96	4	11	939
104	4	7	27691
112	4	12	984
120	4	20	11766
128	4	5	19675
140	4	6	26363
148	4	4	18658
156	4	17	5184
168	4	15	1888
176	4	13	1505
188	4	18	5669
196	4	13	1505
204	4	3	15259
212	4	17	5184
220	4	2	8746
232	4	1	540
244	4	4	18658
252	4	14	1674
260	4	8	31597
268	4	11	939
276	4	6	26363
284	4	10	839
296	4	7	27691
304	4	16	5131
316	4	19	7096
324	4	12	984
332	4	20	11766
340	4	5	19675
352	4	9	33992
360	4	15	1888
