onset	duration	cueid	targetid
8	4	4	18658
20	4	20	11766
32	4	19	7096
44	4	9	33992
52	4	15	1888
60	4	3	15259
72	4	8	31597
80	4	12	984
88	4	5	19675
100	4	11	939
108	4	10	839
116	4	13	1505
124	4	17	5184
132	4	2	8746
140	4	18	5669
148	4	6	26363
156	4	7	27691
164	4	1	540
172	4	14	1674
180	4	16	5131
192	4	18	5669
200	4	11	939
208	4	19	7096
216	4	6	26363
224	4	12	984
236	4	17	5184
244	4	8	31597
252	4	3	15259
260	4	20	11766
272	4	2	8746
280	4	1	540
288	4	9	33992
300	4	10	839
308	4	13	1505
316	4	7	27691
324	4	4	18658
332	4	15	1888
340	4	14	1674
352	4	5	19675
360	4	16	5131
