onset	duration	imageid
8	4	275102
12	4	175925
16	4	324232
20	4	341628
24	4	181223
28	4	32513
32	4	353931
36	4	299372
44	4	293386
48	4	154119
52	4	279831
56	4	289231
60	4	200155
64	4	507550
68	4	357435
72	4	230727
76	4	356261
80	4	276233
84	4	487038
88	4	541472
92	4	479550
96	4	465204
100	4	327586
104	4	417672
108	4	272219
112	4	211108
116	4	490708
120	4	166918
124	4	458016
128	4	405288
132	4	240378
136	4	580843
140	4	535130
144	4	289712
148	4	341348
152	4	391926
160	4	428485
164	4	529524
168	4	142386
172	4	373284
180	4	185108
184	4	256309
188	4	12120
192	4	313340
196	4	179505
200	4	44483
204	4	303370
208	4	341385
212	4	338134
216	4	280847
224	4	344555
228	4	370926
232	4	500585
236	4	518213
244	4	222991
248	4	240057
252	4	183690
256	4	359687
264	4	503961
268	4	201035
272	4	503069
276	4	459987
280	4	285817
284	4	240247
288	4	239101
292	4	253975
296	4	262228
300	4	229472
304	4	558190
308	4	418394
312	4	390975
316	4	9409
320	4	492974
324	4	85162
328	4	196371
332	4	286770
336	4	266244
340	4	362643
344	4	295896
348	4	245697
352	4	480153
356	4	277688
360	4	59997
364	4	236528
368	4	244692
