onset	duration	imageid
8	4	303247
12	4	459449
16	4	500977
20	4	476575
24	4	504338
28	4	328315
32	4	417693
36	4	194161
40	4	500477
44	4	211185
48	4	403830
52	4	415042
56	4	183395
60	4	450849
64	4	309694
68	4	341409
72	4	420791
76	4	391823
80	4	242506
84	4	393121
88	4	390826
92	4	408057
96	4	143192
100	4	281835
104	4	277722
108	4	509740
112	4	460099
116	4	78407
120	4	181139
124	4	373792
128	4	415694
132	4	491932
140	4	288481
144	4	199346
152	4	467000
156	4	252627
160	4	8131
164	4	355677
168	4	219472
172	4	329942
176	4	255016
180	4	198195
184	4	365600
188	4	546499
192	4	547846
196	4	21566
200	4	292146
204	4	561750
208	4	269932
212	4	429318
216	4	541856
220	4	236762
224	4	464909
228	4	250205
236	4	280838
240	4	296322
244	4	423050
248	4	235812
252	4	1761
256	4	161278
260	4	133210
264	4	361142
268	4	236015
272	4	454388
276	4	331588
284	4	435975
288	4	34950
292	4	180351
296	4	222074
304	4	151184
308	4	287639
312	4	9372
316	4	491492
320	4	392747
324	4	279066
328	4	282206
332	4	31334
336	4	261665
340	4	268435
348	4	556983
352	4	174098
356	4	293215
360	4	511848
364	4	548921
368	4	184942
