onset	duration	imageid
8	4	189493
12	4	20571
16	4	204375
20	4	262521
24	4	300388
28	4	207728
32	4	509733
36	4	286973
40	4	513445
44	4	255440
48	4	173422
52	4	548420
56	4	320659
60	4	380097
64	4	523780
68	4	289591
72	4	234643
76	4	423637
80	4	550113
84	4	59934
88	4	363173
96	4	448475
100	4	198271
104	4	132683
108	4	403910
112	4	528687
120	4	441325
124	4	204216
128	4	561270
132	4	289460
136	4	12428
148	4	134506
152	4	480243
156	4	403463
160	4	205960
164	4	329765
168	4	11723
172	4	80720
176	4	296657
180	4	503424
184	4	489927
188	4	398438
192	4	505384
196	4	519617
200	4	504101
204	4	9378
208	4	453409
212	4	142239
216	4	361244
220	4	194462
224	4	288723
228	4	353130
236	4	567416
240	4	501909
244	4	168593
252	4	272599
256	4	209923
260	4	412720
264	4	198805
268	4	552235
272	4	282032
276	4	544035
280	4	194030
284	4	333294
288	4	290942
292	4	254568
296	4	309873
300	4	376731
304	4	8899
308	4	326399
312	4	193986
316	4	549499
320	4	507667
324	4	288662
328	4	384949
332	4	193389
336	4	333283
340	4	192345
344	4	329546
348	4	558910
352	4	223123
356	4	561529
360	4	551889
364	4	529691
368	4	572795
