onset	duration	cueid	targetid
8	4	18	5669
16	4	17	5184
28	4	2	8746
40	4	9	33992
48	4	6	26363
56	4	12	984
64	4	4	18658
76	4	15	1888
84	4	11	939
92	4	13	1505
100	4	16	5131
108	4	8	31597
116	4	19	7096
124	4	14	1674
132	4	3	15259
140	4	20	11766
148	4	1	540
160	4	7	27691
168	4	5	19675
180	4	10	839
188	4	19	7096
196	4	3	15259
208	4	6	26363
216	4	11	939
224	4	7	27691
232	4	4	18658
240	4	14	1674
248	4	17	5184
256	4	20	11766
264	4	15	1888
272	4	5	19675
284	4	10	839
292	4	18	5669
300	4	1	540
312	4	12	984
324	4	2	8746
332	4	13	1505
340	4	9	33992
348	4	8	31597
360	4	16	5131
