onset	duration	imageid
8	4	313709
12	4	44763
16	4	142239
20	4	470710
24	4	436843
28	4	300578
32	4	405695
36	4	327449
40	4	299717
44	4	489995
48	4	260844
52	4	295103
56	4	325919
60	4	262145
64	4	211593
68	4	155145
72	4	207475
76	4	258289
80	4	417373
84	4	492215
88	4	298573
92	4	460134
100	4	420823
104	4	456950
108	4	366174
112	4	566324
116	4	510313
124	4	201930
128	4	466451
132	4	502792
136	4	183788
144	4	412720
148	4	371351
152	4	175310
156	4	502136
160	4	203796
164	4	112626
168	4	320390
172	4	396765
176	4	243927
180	4	417607
184	4	179814
188	4	189593
192	4	337682
196	4	561270
200	4	526758
204	4	266503
208	4	486
212	4	78447
216	4	467842
220	4	10472
224	4	374743
228	4	284354
232	4	340406
236	4	391496
240	4	223701
244	4	204549
248	4	251874
252	4	19351
256	4	153126
260	4	21566
264	4	344292
272	4	435975
280	4	8690
284	4	408445
288	4	526321
292	4	313116
300	4	302029
304	4	406001
308	4	106563
312	4	42439
316	4	559935
320	4	455856
324	4	487144
328	4	167683
332	4	359805
336	4	339550
340	4	489470
344	4	556369
348	4	328075
352	4	297353
356	4	472841
360	4	275102
364	4	196948
368	4	511002
