onset	duration	imageid
8	4	135338
12	4	572671
20	4	29151
24	4	441203
28	4	170780
32	4	383893
36	4	198198
40	4	226059
44	4	193194
48	4	204657
52	4	296901
56	4	296277
60	4	361120
64	4	253742
68	4	366068
72	4	196061
76	4	235808
80	4	288586
84	4	491554
88	4	482158
92	4	528862
96	4	192216
104	4	331817
108	4	434379
112	4	400431
116	4	310391
120	4	556547
124	4	489942
128	4	155058
140	4	508207
144	4	460134
148	4	272510
152	4	22382
156	4	181769
160	4	519491
164	4	275532
168	4	205560
172	4	511789
176	4	256028
180	4	260172
184	4	550049
188	4	169766
192	4	378912
196	4	282703
200	4	420485
204	4	246796
208	4	325132
212	4	509948
216	4	504878
220	4	376009
224	4	517780
228	4	406826
232	4	324785
236	4	245153
240	4	423944
244	4	307342
248	4	485529
252	4	395973
256	4	210015
260	4	175830
264	4	338597
268	4	529887
272	4	259717
276	4	138937
280	4	432892
284	4	404854
288	4	353999
296	4	335874
304	4	406292
308	4	149381
312	4	243219
316	4	28642
320	4	553554
324	4	508006
328	4	380117
332	4	526648
336	4	317431
340	4	441544
344	4	491653
348	4	296846
352	4	210951
356	4	531377
360	4	281758
364	4	21963
368	4	240301
