onset	duration	cueid	targetid
12	4	79	313428
20	4	72	42479
32	4	76	60467
40	4	65	364252
48	4	70	36237
56	4	61	13471
64	4	69	578769
72	4	73	48263
80	4	74	58248
92	4	78	164772
100	4	63	361460
108	4	64	364044
116	4	77	75132
124	4	66	465559
132	4	75	60394
140	4	71	36482
152	4	68	578231
160	4	80	357254
168	4	67	571516
180	4	62	350644
188	4	71	36482
196	4	78	164772
204	4	65	364252
212	4	72	42479
220	4	64	364044
228	4	66	465559
240	4	69	578769
248	4	75	60394
260	4	77	75132
268	4	61	13471
276	4	80	357254
284	4	73	48263
292	4	67	571516
304	4	76	60467
312	4	63	361460
324	4	68	578231
332	4	79	313428
340	4	62	350644
348	4	70	36237
360	4	74	58248
