onset	duration	imageid
8	4	354831
16	4	252212
20	4	551877
24	4	194722
32	4	142856
36	4	22014
40	4	505335
44	4	451228
48	4	268397
52	4	500110
56	4	310049
60	4	270683
64	4	555339
68	4	193946
72	4	192524
76	4	528541
80	4	146589
84	4	347790
88	4	318998
92	4	284901
96	4	40894
100	4	80337
104	4	143252
108	4	533807
112	4	571694
116	4	239452
120	4	207943
124	4	371684
132	4	230450
136	4	212122
140	4	260034
144	4	193347
148	4	140582
156	4	274376
160	4	191014
164	4	302900
168	4	325524
172	4	531395
176	4	266375
180	4	175998
184	4	203132
188	4	144705
192	4	219329
196	4	83531
200	4	337682
204	4	295103
208	4	538814
212	4	12667
216	4	360767
224	4	354368
232	4	234633
236	4	319933
240	4	286912
244	4	255233
248	4	298573
252	4	229539
256	4	308473
260	4	492674
264	4	460370
268	4	433716
272	4	501110
276	4	174889
280	4	256707
284	4	374743
288	4	406097
292	4	149622
296	4	303870
300	4	241491
304	4	371472
308	4	282143
312	4	170834
316	4	100722
320	4	456950
324	4	413346
328	4	552966
332	4	237210
336	4	353405
340	4	528786
344	4	290265
348	4	194738
352	4	526359
356	4	289698
360	4	188623
364	4	411814
368	4	527562
