onset	duration	cueid	targetid
8	4	21	2315
16	4	39	9846
28	4	28	26362
36	4	24	13420
44	4	34	8228
52	4	33	7988
64	4	40	10870
72	4	29	32675
80	4	22	9929
88	4	26	14592
96	4	31	6871
108	4	37	8920
116	4	35	8351
128	4	38	9016
136	4	23	11336
144	4	25	14036
156	4	30	5469
164	4	36	8385
172	4	27	15546
180	4	32	7685
188	4	29	32675
196	4	40	10870
204	4	28	26362
212	4	21	2315
220	4	33	7988
228	4	31	6871
236	4	27	15546
248	4	34	8228
256	4	24	13420
264	4	23	11336
276	4	37	8920
284	4	38	9016
292	4	32	7685
304	4	26	14592
316	4	39	9846
324	4	22	9929
332	4	25	14036
344	4	35	8351
352	4	30	5469
360	4	36	8385
