onset	duration	imageid
8	4	186632
12	4	373101
16	4	265773
20	4	194738
24	4	211905
28	4	335861
32	4	1761
36	4	51222
40	4	1296
48	4	188819
52	4	320706
56	4	115245
60	4	160666
64	4	279661
68	4	176009
72	4	55299
76	4	174723
80	4	420354
84	4	391419
88	4	199127
92	4	471500
96	4	480948
100	4	189159
104	4	361246
108	4	490112
112	4	243970
120	4	538547
128	4	413811
132	4	310981
136	4	263383
140	4	419587
144	4	203142
148	4	9479
152	4	365600
156	4	300343
160	4	287418
168	4	443519
172	4	369982
176	4	287386
180	4	175480
184	4	272899
188	4	308257
192	4	307124
196	4	67972
200	4	359148
204	4	410774
208	4	188454
212	4	80339
216	4	458027
220	4	193340
224	4	357435
228	4	183690
232	4	334883
236	4	284582
240	4	509819
244	4	378962
248	4	338468
252	4	428780
256	4	325519
260	4	563048
268	4	359201
276	4	9381
280	4	123633
284	4	193785
288	4	127648
292	4	460408
296	4	174345
300	4	297314
304	4	243283
308	4	487264
312	4	445628
316	4	246248
320	4	564931
324	4	538120
328	4	260738
332	4	502179
336	4	534189
340	4	130998
344	4	459978
348	4	155029
352	4	370270
356	4	140640
360	4	174137
364	4	100624
368	4	333555
