onset	duration	imageid
8	4	514635
12	4	319053
16	4	531322
20	4	212203
24	4	411492
28	4	175210
32	4	417987
36	4	52128
40	4	165433
44	4	182673
48	4	193444
52	4	294034
56	4	274376
60	4	306439
64	4	228525
68	4	55022
72	4	278174
76	4	569017
80	4	399746
84	4	535165
88	4	297544
92	4	93621
96	4	554770
100	4	559358
108	4	293493
112	4	480243
116	4	238005
120	4	185826
128	4	185634
132	4	193389
136	4	256028
140	4	250619
144	4	338120
148	4	241025
152	4	320308
156	4	205443
160	4	336333
164	4	289895
168	4	65793
172	4	230450
176	4	215151
184	4	218310
188	4	288340
192	4	327401
200	4	455267
204	4	580843
208	4	357824
212	4	183236
216	4	219606
220	4	100489
224	4	374371
228	4	426061
236	4	409489
240	4	206377
244	4	502854
248	4	233090
252	4	573483
256	4	256309
260	4	429490
264	4	165387
268	4	370235
272	4	509339
276	4	398438
280	4	27937
284	4	10583
288	4	140831
292	4	174721
296	4	561911
300	4	554556
304	4	358989
308	4	441496
312	4	537844
316	4	537685
320	4	572572
324	4	441952
328	4	570463
332	4	450959
336	4	416326
340	4	557047
348	4	355425
352	4	279780
356	4	491659
360	4	406368
364	4	443627
368	4	314377
