onset	duration	cueid	targetid
12	4	22	9929
20	4	32	7685
28	4	31	6871
36	4	33	7988
44	4	24	13420
56	4	38	9016
64	4	28	26362
72	4	29	32675
84	4	37	8920
92	4	27	15546
100	4	35	8351
112	4	25	14036
120	4	39	9846
128	4	21	2315
136	4	34	8228
148	4	40	10870
156	4	23	11336
164	4	30	5469
172	4	26	14592
180	4	36	8385
188	4	22	9929
196	4	27	15546
204	4	38	9016
212	4	25	14036
220	4	24	13420
228	4	33	7988
240	4	26	14592
248	4	21	2315
256	4	37	8920
264	4	32	7685
272	4	39	9846
280	4	40	10870
288	4	29	32675
300	4	36	8385
312	4	35	8351
320	4	28	26362
332	4	34	8228
340	4	23	11336
348	4	30	5469
360	4	31	6871
