onset	duration	imageid
8	4	257302
12	4	169845
16	4	75393
20	4	514800
24	4	371406
28	4	342367
32	4	383637
36	4	528940
40	4	162898
44	4	288751
48	4	487757
52	4	564532
56	4	316161
60	4	369126
68	4	276064
72	4	400161
76	4	394248
80	4	466949
88	4	500110
92	4	379842
96	4	344870
100	4	280838
104	4	393125
108	4	237271
112	4	208288
116	4	183445
120	4	313256
124	4	111546
128	4	181626
132	4	196971
136	4	464498
140	4	219855
144	4	283005
148	4	287167
152	4	294052
156	4	259419
160	4	183827
164	4	124659
168	4	239625
176	4	538198
180	4	520197
184	4	451169
188	4	341010
192	4	550049
196	4	549209
200	4	459465
204	4	175952
208	4	329535
212	4	508006
216	4	338210
220	4	364919
224	4	194921
228	4	468027
232	4	177858
236	4	280857
240	4	311822
244	4	400487
248	4	153039
252	4	279138
256	4	418181
260	4	442774
264	4	352482
268	4	577631
272	4	479916
276	4	286698
280	4	181666
284	4	371960
288	4	131832
292	4	243986
296	4	203333
300	4	500723
304	4	512948
308	4	519381
312	4	322844
316	4	537479
320	4	460049
328	4	570608
332	4	551877
336	4	17953
340	4	194030
344	4	404183
348	4	341230
356	4	470622
360	4	265771
368	4	293820
