onset	duration	imageid
8	4	168690
12	4	372914
16	4	341469
20	4	369367
24	4	459566
32	4	300273
36	4	218807
40	4	266271
44	4	325523
48	4	524211
56	4	173430
60	4	315001
64	4	462123
68	4	178620
72	4	221894
76	4	482505
80	4	186443
88	4	43971
92	4	510144
100	4	476965
104	4	484007
108	4	289712
112	4	125129
116	4	315128
120	4	367092
124	4	577838
128	4	294667
132	4	196510
136	4	286149
140	4	526751
144	4	556983
148	4	384527
152	4	453488
156	4	284960
160	4	280429
164	4	389255
168	4	307881
172	4	149381
176	4	521203
184	4	224471
188	4	271182
192	4	426329
196	4	337505
200	4	154073
204	4	313156
212	4	270703
216	4	573401
220	4	180002
224	4	408922
228	4	297683
232	4	270554
236	4	140454
240	4	242506
244	4	393576
248	4	465862
252	4	386467
256	4	340964
260	4	133609
264	4	331824
268	4	433156
272	4	405970
276	4	405348
280	4	244282
284	4	360767
288	4	313480
292	4	564552
296	4	449197
300	4	316826
304	4	379399
308	4	266275
312	4	363084
316	4	183990
320	4	307603
324	4	373218
328	4	180806
332	4	441255
336	4	272647
340	4	262197
344	4	290355
348	4	329734
352	4	455660
356	4	532912
360	4	325915
364	4	175116
368	4	503294
