onset	duration	cueid	targetid
8	4	85	367743
16	4	98	158757
28	4	90	36382
36	4	92	37210
48	4	97	81556
56	4	84	359947
64	4	86	367835
72	4	83	349512
84	4	99	159446
92	4	88	467461
100	4	95	69983
112	4	87	367959
120	4	94	58690
128	4	93	54869
140	4	89	576695
148	4	91	36953
156	4	81	11519
164	4	96	72740
172	4	82	173053
180	4	100	347926
188	4	88	467461
196	4	95	69983
204	4	96	72740
212	4	98	158757
220	4	82	173053
232	4	100	347926
240	4	94	58690
252	4	90	36382
264	4	81	11519
272	4	92	37210
280	4	86	367835
288	4	85	367743
300	4	87	367959
308	4	89	576695
316	4	99	159446
328	4	93	54869
336	4	91	36953
344	4	97	81556
352	4	84	359947
360	4	83	349512
