onset	duration	imageid
8	4	261587
12	4	1296
16	4	410898
20	4	442774
24	4	198349
28	4	317322
32	4	7455
36	4	452070
40	4	308302
44	4	557045
52	4	550021
56	4	425390
60	4	42628
64	4	426166
68	4	354307
76	4	507520
80	4	322163
88	4	549101
92	4	260448
96	4	66154
100	4	57232
104	4	4741
108	4	176038
112	4	173251
116	4	135513
120	4	262197
124	4	280008
128	4	207475
132	4	455856
136	4	503448
140	4	316178
144	4	420354
148	4	174898
152	4	367177
156	4	553304
160	4	347648
164	4	9483
168	4	535902
172	4	118612
176	4	577028
180	4	237077
184	4	239657
188	4	147856
192	4	551763
196	4	408975
200	4	470710
208	4	255971
212	4	9769
216	4	415828
220	4	578792
224	4	38026
228	4	84170
232	4	488726
236	4	228558
240	4	468354
244	4	558555
248	4	271900
252	4	450762
256	4	139494
260	4	467696
264	4	164997
268	4	33799
272	4	212573
276	4	330311
280	4	489374
288	4	170786
292	4	437994
296	4	399164
300	4	370711
304	4	455874
308	4	286820
312	4	371939
316	4	364770
320	4	363061
324	4	143323
328	4	474356
332	4	551794
336	4	357386
340	4	5434
344	4	130613
352	4	153052
356	4	268733
360	4	553149
364	4	63079
368	4	381810
