onset	duration	cueid	targetid
12	4	53	15759
24	4	59	53642
32	4	56	23729
40	4	49	570307
48	4	55	19739
60	4	48	364158
68	4	60	72354
76	4	50	11552
88	4	57	24554
96	4	47	332273
104	4	41	10084
112	4	43	77159
120	4	52	15596
128	4	42	64516
136	4	51	15374
144	4	46	331350
152	4	54	17717
160	4	58	27704
168	4	44	298219
180	4	45	305732
188	4	56	23729
196	4	54	17717
204	4	41	10084
212	4	43	77159
220	4	52	15596
228	4	60	72354
236	4	45	305732
244	4	57	24554
252	4	53	15759
264	4	44	298219
272	4	42	64516
280	4	47	332273
292	4	49	570307
300	4	58	27704
312	4	55	19739
324	4	59	53642
332	4	51	15374
344	4	46	331350
352	4	50	11552
360	4	48	364158
