onset	duration	cueid	targetid
8	4	49	570307
20	4	45	305732
28	4	53	15759
36	4	52	15596
44	4	50	11552
56	4	48	364158
64	4	51	15374
76	4	54	17717
84	4	41	10084
92	4	55	19739
100	4	56	23729
108	4	42	64516
120	4	46	331350
128	4	60	72354
136	4	59	53642
144	4	58	27704
156	4	43	77159
164	4	57	24554
172	4	47	332273
180	4	44	298219
192	4	58	27704
204	4	57	24554
212	4	52	15596
220	4	60	72354
228	4	49	570307
236	4	47	332273
244	4	48	364158
252	4	53	15759
260	4	45	305732
272	4	50	11552
284	4	56	23729
292	4	43	77159
300	4	42	64516
308	4	59	53642
316	4	44	298219
324	4	46	331350
336	4	55	19739
344	4	41	10084
352	4	54	17717
360	4	51	15374
