onset	duration	imageid
8	4	359546
16	4	263042
20	4	184914
24	4	424135
28	4	499911
32	4	401838
36	4	511165
40	4	194788
44	4	139472
48	4	140617
52	4	439855
60	4	139684
64	4	371217
68	4	311056
72	4	146861
76	4	7088
80	4	237233
84	4	433652
88	4	78593
92	4	523137
96	4	329188
100	4	377807
104	4	287228
108	4	408143
112	4	539589
120	4	10881
124	4	330164
128	4	424304
132	4	419610
136	4	228436
140	4	243839
144	4	311428
148	4	508482
152	4	91257
156	4	253389
160	4	100722
164	4	523981
168	4	153016
172	4	303731
176	4	290969
180	4	62604
184	4	331799
188	4	143192
192	4	278452
200	4	365015
204	4	541730
208	4	239736
212	4	347727
216	4	240288
220	4	9409
224	4	232219
228	4	265356
232	4	246275
236	4	232348
240	4	174375
244	4	471946
248	4	456146
252	4	309087
256	4	78836
260	4	7574
268	4	393887
276	4	370973
280	4	237453
284	4	191005
288	4	236593
292	4	225345
296	4	544094
300	4	215462
304	4	448504
308	4	322163
312	4	449856
316	4	6954
320	4	324104
324	4	324492
328	4	359005
332	4	291506
336	4	475660
340	4	332316
344	4	511111
348	4	223123
352	4	429283
356	4	223739
360	4	468422
364	4	219099
368	4	11615
