onset	duration	imageid
8	4	491492
12	4	521881
16	4	177394
20	4	456323
24	4	494154
28	4	549535
32	4	428391
36	4	170766
40	4	504101
44	4	174773
48	4	450762
52	4	534266
56	4	289169
60	4	404537
64	4	301885
68	4	297895
72	4	396252
76	4	199346
80	4	270956
84	4	350108
88	4	130613
92	4	375709
96	4	16072
100	4	279522
104	4	131444
108	4	228727
112	4	232275
116	4	486543
120	4	59947
124	4	167708
128	4	128921
136	4	452979
140	4	517878
144	4	506748
148	4	295560
152	4	294635
156	4	412390
160	4	157105
164	4	299871
168	4	303870
172	4	265831
176	4	464440
184	4	268065
188	4	192500
200	4	94261
204	4	54628
208	4	398200
212	4	139
216	4	479941
220	4	456071
224	4	276233
228	4	451024
236	4	193222
240	4	423630
244	4	473015
248	4	176084
256	4	267946
260	4	532239
264	4	418070
268	4	221542
272	4	10405
276	4	577146
280	4	333294
284	4	120420
288	4	353090
292	4	526861
296	4	467696
300	4	331817
304	4	379498
308	4	552685
312	4	576262
316	4	324785
320	4	168619
324	4	561891
328	4	507680
332	4	310685
336	4	290410
340	4	143132
344	4	297323
348	4	513805
352	4	569251
356	4	405288
360	4	472065
364	4	392943
368	4	408057
