onset	duration	imageid
8	4	278258
12	4	2157
16	4	271025
20	4	528862
24	4	367035
28	4	418257
32	4	212514
36	4	484617
40	4	426470
44	4	423355
48	4	200010
52	4	417006
56	4	540280
60	4	265108
64	4	325548
68	4	168175
72	4	418175
80	4	46804
88	4	10495
92	4	288662
96	4	333538
100	4	201043
108	4	222074
112	4	579872
116	4	57027
120	4	456286
124	4	529383
128	4	162892
132	4	432036
136	4	388805
140	4	419586
144	4	556497
148	4	427805
156	4	297168
160	4	124311
164	4	572171
168	4	181223
172	4	310185
176	4	477634
180	4	160772
184	4	252407
188	4	399585
192	4	12428
196	4	563702
200	4	208079
204	4	323789
208	4	184942
212	4	288317
216	4	266244
220	4	429735
224	4	38026
228	4	469480
232	4	425746
236	4	361244
240	4	479864
244	4	313459
248	4	533050
252	4	339491
256	4	268717
260	4	240057
264	4	534564
268	4	335696
272	4	178874
276	4	196843
280	4	560898
288	4	404759
292	4	498562
296	4	150385
300	4	105455
304	4	428761
312	4	66154
316	4	204529
320	4	513968
324	4	239244
328	4	498354
332	4	563726
336	4	509485
340	4	467138
344	4	325040
348	4	453472
352	4	575624
356	4	308487
360	4	286973
364	4	341385
368	4	443639
