onset	duration	imageid
8	4	209068
16	4	239101
20	4	512194
28	4	272957
32	4	371176
36	4	424760
40	4	405207
44	4	544427
48	4	306136
52	4	228293
56	4	460149
60	4	448842
64	4	378657
68	4	191477
72	4	371402
76	4	162952
80	4	366071
84	4	276381
92	4	511963
96	4	553038
100	4	371164
104	4	577657
108	4	197175
112	4	384188
116	4	360855
120	4	537729
124	4	563873
128	4	271900
136	4	560046
140	4	287364
144	4	472089
148	4	191403
152	4	284911
156	4	284934
160	4	287958
164	4	265063
168	4	479101
172	4	418297
176	4	15485
180	4	171649
184	4	308950
188	4	342490
192	4	205391
196	4	550246
200	4	127550
204	4	1353
208	4	258288
212	4	564682
216	4	110704
220	4	115465
224	4	354307
228	4	453772
232	4	236718
236	4	197177
244	4	521236
248	4	503069
252	4	455879
256	4	292146
260	4	5435
264	4	198349
268	4	2006
272	4	200155
280	4	361142
284	4	252608
288	4	180593
292	4	330554
296	4	221803
300	4	119686
304	4	287136
308	4	553304
312	4	549003
316	4	211108
320	4	393760
324	4	178034
328	4	315
332	4	298591
336	4	499068
340	4	483849
344	4	386934
348	4	234424
352	4	174594
356	4	35907
360	4	242537
364	4	175331
368	4	197437
