onset	duration	cueid	targetid
8	4	20	11766
20	4	10	839
32	4	2	8746
40	4	13	1505
48	4	17	5184
56	4	9	33992
64	4	14	1674
76	4	18	5669
84	4	7	27691
96	4	4	18658
104	4	11	939
112	4	16	5131
120	4	19	7096
128	4	12	984
136	4	15	1888
144	4	3	15259
152	4	1	540
160	4	8	31597
168	4	6	26363
176	4	5	19675
192	4	2	8746
200	4	9	33992
208	4	10	839
216	4	11	939
224	4	14	1674
232	4	1	540
244	4	3	15259
256	4	15	1888
264	4	5	19675
272	4	19	7096
280	4	16	5131
288	4	18	5669
296	4	12	984
304	4	8	31597
312	4	20	11766
324	4	13	1505
332	4	4	18658
344	4	7	27691
352	4	17	5184
360	4	6	26363
