onset	duration	imageid
8	4	296755
12	4	518026
16	4	162952
20	4	405207
24	4	577657
28	4	105592
32	4	541868
36	4	273081
40	4	424304
48	4	359805
52	4	469301
56	4	166482
60	4	309294
64	4	406001
68	4	528962
72	4	399212
76	4	268150
80	4	227125
84	4	7726
92	4	540714
96	4	530686
100	4	206001
104	4	423355
108	4	564532
112	4	428691
116	4	490222
120	4	337505
124	4	328075
128	4	134829
132	4	451101
136	4	174888
140	4	72899
144	4	562227
148	4	240762
152	4	203142
156	4	269113
160	4	177937
164	4	160666
168	4	204423
172	4	169774
176	4	378657
180	4	320081
188	4	554106
192	4	196948
196	4	33647
200	4	286925
204	4	505611
208	4	274091
212	4	386467
216	4	115465
220	4	416095
224	4	418114
228	4	372319
232	4	161609
236	4	13294
240	4	209859
244	4	79144
248	4	458027
252	4	181836
256	4	122927
260	4	151458
264	4	560238
268	4	285041
272	4	391509
280	4	4901
284	4	567633
288	4	456286
292	4	352523
296	4	359762
300	4	174934
304	4	173538
308	4	337609
312	4	242605
320	4	523137
324	4	303281
328	4	196510
332	4	170040
336	4	218874
340	4	283005
344	4	340964
348	4	374352
356	4	303069
360	4	493983
364	4	579224
368	4	280051
