onset	duration	cueid	targetid
8	4	90	36382
20	4	83	349512
28	4	93	54869
40	4	100	347926
48	4	95	69983
60	4	89	576695
68	4	99	159446
80	4	97	81556
88	4	81	11519
96	4	98	158757
104	4	82	173053
112	4	86	367835
120	4	92	37210
128	4	87	367959
136	4	84	359947
148	4	88	467461
156	4	94	58690
164	4	96	72740
172	4	85	367743
180	4	91	36953
188	4	100	347926
196	4	94	58690
204	4	93	54869
212	4	92	37210
220	4	97	81556
228	4	99	159446
236	4	95	69983
248	4	91	36953
256	4	86	367835
268	4	96	72740
280	4	82	173053
288	4	83	349512
296	4	98	158757
304	4	81	11519
312	4	89	576695
324	4	84	359947
332	4	88	467461
344	4	87	367959
352	4	90	36382
360	4	85	367743
