onset	duration	cueid	targetid
8	4	30	5469
16	4	22	9929
24	4	40	10870
32	4	38	9016
40	4	29	32675
48	4	31	6871
56	4	24	13420
64	4	34	8228
72	4	32	7685
80	4	28	26362
92	4	39	9846
100	4	26	14592
112	4	23	11336
120	4	21	2315
132	4	27	15546
140	4	25	14036
152	4	35	8351
160	4	33	7988
168	4	37	8920
176	4	36	8385
188	4	32	7685
196	4	38	9016
208	4	23	11336
216	4	24	13420
224	4	21	2315
232	4	35	8351
244	4	22	9929
252	4	39	9846
260	4	34	8228
268	4	36	8385
276	4	26	14592
284	4	25	14036
292	4	37	8920
300	4	29	32675
312	4	40	10870
324	4	27	15546
332	4	33	7988
340	4	31	6871
348	4	28	26362
356	4	30	5469
