onset	duration	imageid
8	4	142971
12	4	197225
20	4	327153
24	4	294669
28	4	486362
32	4	294811
36	4	466913
40	4	318726
44	4	556370
48	4	156756
52	4	291980
56	4	257796
60	4	479929
64	4	234643
68	4	327601
72	4	341013
76	4	579787
80	4	163047
84	4	491623
88	4	247037
92	4	88165
96	4	20747
104	4	515982
108	4	428629
112	4	239773
116	4	469810
120	4	539397
128	4	275710
132	4	549101
136	4	311953
140	4	382339
144	4	199011
148	4	264769
156	4	487903
160	4	369058
164	4	262895
168	4	203299
172	4	28642
176	4	188184
180	4	180099
184	4	381994
188	4	490294
192	4	208773
196	4	382563
200	4	489927
204	4	567438
208	4	173538
212	4	42799
216	4	297394
220	4	412616
224	4	393534
228	4	380117
232	4	557334
236	4	79651
240	4	349582
244	4	486376
248	4	116819
252	4	5601
256	4	403541
260	4	223319
264	4	397523
268	4	540899
272	4	5600
276	4	516623
280	4	534268
284	4	179940
292	4	426175
296	4	94157
300	4	135730
308	4	103873
312	4	244692
316	4	547637
320	4	276763
324	4	212800
328	4	564756
332	4	42919
336	4	492993
340	4	23781
344	4	424272
348	4	169937
352	4	245697
356	4	219492
360	4	294029
364	4	37030
368	4	564451
