onset	duration	cueid	targetid
8	4	1	540
16	4	4	18658
24	4	20	11766
32	4	10	839
40	4	2	8746
48	4	18	5669
56	4	9	33992
64	4	8	31597
76	4	19	7096
88	4	16	5131
96	4	17	5184
104	4	6	26363
112	4	12	984
120	4	11	939
128	4	13	1505
136	4	7	27691
148	4	3	15259
160	4	15	1888
168	4	14	1674
176	4	5	19675
188	4	8	31597
196	4	2	8746
204	4	6	26363
216	4	17	5184
224	4	4	18658
232	4	13	1505
240	4	12	984
248	4	11	939
260	4	9	33992
272	4	18	5669
280	4	20	11766
288	4	1	540
296	4	16	5131
304	4	7	27691
312	4	19	7096
324	4	3	15259
332	4	5	19675
344	4	14	1674
352	4	10	839
360	4	15	1888
