onset	duration	imageid
8	4	400870
12	4	181149
16	4	322352
20	4	288317
24	4	413115
28	4	333749
32	4	230450
36	4	532285
40	4	350953
44	4	380305
48	4	529544
52	4	368821
56	4	319053
60	4	327813
64	4	206377
68	4	254645
72	4	198625
76	4	571694
80	4	451504
84	4	448504
88	4	203551
92	4	335871
96	4	412693
100	4	211622
104	4	509948
108	4	405970
112	4	554066
116	4	230863
120	4	101031
124	4	184942
128	4	7281
132	4	304385
136	4	311206
140	4	428391
144	4	483375
152	4	378848
156	4	146602
164	4	390594
168	4	441522
172	4	183827
176	4	198929
180	4	526648
184	4	428244
188	4	233075
192	4	470068
196	4	11158
200	4	293955
204	4	367233
208	4	416652
212	4	51222
216	4	121673
220	4	418114
224	4	299959
228	4	205634
232	4	495403
236	4	193785
240	4	491737
244	4	510730
248	4	427805
252	4	467646
256	4	320593
260	4	417111
264	4	332570
272	4	494175
276	4	80401
280	4	556683
288	4	467572
292	4	385682
296	4	506066
300	4	371472
304	4	55299
308	4	315128
312	4	288906
320	4	489514
324	4	205861
328	4	117525
336	4	192834
340	4	307435
344	4	41887
348	4	429991
352	4	219687
356	4	359860
360	4	429283
364	4	540146
368	4	169510
