onset	duration	imageid
8	4	230177
12	4	221119
16	4	192345
20	4	544691
24	4	375709
28	4	20747
32	4	488203
36	4	142946
40	4	494386
44	4	287167
48	4	302029
56	4	7816
60	4	520674
64	4	65485
68	4	359949
72	4	255975
76	4	524110
80	4	322325
84	4	479358
92	4	437525
96	4	128699
100	4	461498
104	4	503153
108	4	307033
112	4	298318
116	4	395598
120	4	373218
124	4	4901
128	4	327005
132	4	267284
136	4	174711
144	4	95069
148	4	371186
152	4	404537
156	4	255003
160	4	451077
164	4	44825
168	4	223095
172	4	343484
176	4	293386
180	4	526087
184	4	361212
188	4	379498
192	4	232050
196	4	87862
200	4	279341
208	4	555654
212	4	202158
216	4	76978
220	4	519359
224	4	310049
228	4	314439
232	4	129416
236	4	581909
240	4	418181
244	4	518071
248	4	509339
252	4	38829
256	4	326064
260	4	264821
264	4	312902
268	4	198198
272	4	38026
280	4	175310
284	4	335861
288	4	418219
292	4	33802
300	4	423050
304	4	213945
308	4	456343
312	4	252699
316	4	203304
320	4	317323
324	4	335775
328	4	332316
332	4	540186
336	4	386768
340	4	142856
344	4	327404
348	4	431598
352	4	7726
356	4	296032
360	4	520077
364	4	157105
368	4	263036
