onset	duration	cueid	targetid
8	4	26	14592
20	4	28	26362
28	4	22	9929
36	4	34	8228
44	4	25	14036
52	4	29	32675
60	4	33	7988
68	4	23	11336
80	4	35	8351
88	4	32	7685
96	4	24	13420
104	4	30	5469
112	4	36	8385
120	4	37	8920
132	4	21	2315
144	4	39	9846
152	4	31	6871
160	4	38	9016
168	4	40	10870
180	4	27	15546
188	4	36	8385
196	4	26	14592
204	4	32	7685
216	4	33	7988
228	4	29	32675
236	4	25	14036
244	4	21	2315
252	4	39	9846
260	4	30	5469
268	4	23	11336
280	4	35	8351
288	4	31	6871
296	4	28	26362
304	4	40	10870
316	4	38	9016
324	4	22	9929
332	4	27	15546
340	4	24	13420
352	4	34	8228
360	4	37	8920
