onset	duration	cueid	targetid
8	4	28	26362
16	4	26	14592
24	4	24	13420
36	4	35	8351
44	4	36	8385
56	4	34	8228
68	4	21	2315
76	4	27	15546
84	4	38	9016
92	4	25	14036
100	4	39	9846
108	4	23	11336
116	4	29	32675
124	4	33	7988
132	4	40	10870
144	4	37	8920
152	4	32	7685
164	4	22	9929
172	4	30	5469
180	4	31	6871
188	4	35	8351
196	4	40	10870
208	4	25	14036
216	4	37	8920
224	4	27	15546
232	4	28	26362
240	4	33	7988
248	4	22	9929
260	4	21	2315
268	4	31	6871
280	4	29	32675
288	4	34	8228
300	4	38	9016
308	4	39	9846
316	4	36	8385
324	4	30	5469
332	4	32	7685
340	4	26	14592
348	4	24	13420
356	4	23	11336
