onset	duration	imageid
8	4	387136
12	4	475660
16	4	498562
20	4	260738
24	4	330173
28	4	451214
32	4	399655
36	4	200305
40	4	41008
44	4	394248
48	4	382030
52	4	466949
56	4	16010
60	4	537169
64	4	416741
68	4	499867
72	4	229472
76	4	244635
80	4	205577
84	4	229149
88	4	44483
92	4	317431
96	4	24744
100	4	166464
104	4	456071
108	4	162952
120	4	495985
124	4	511363
128	4	325040
132	4	256877
136	4	159128
140	4	460049
144	4	269541
148	4	456146
152	4	139494
156	4	406001
160	4	556370
164	4	494090
168	4	404666
172	4	178112
176	4	399164
180	4	513602
184	4	454388
188	4	418394
192	4	315030
200	4	489209
204	4	343857
208	4	278899
212	4	534268
216	4	354131
220	4	247451
224	4	429898
228	4	355119
236	4	555444
240	4	274773
244	4	240288
248	4	168618
252	4	181223
256	4	265773
260	4	196178
264	4	191332
272	4	189493
276	4	184184
280	4	334006
284	4	433297
288	4	284127
292	4	521881
296	4	211905
300	4	261026
304	4	408057
308	4	168593
312	4	265355
320	4	554698
324	4	417410
328	4	490535
332	4	558555
336	4	419892
340	4	316269
344	4	273378
348	4	541856
352	4	510260
356	4	237944
360	4	274667
364	4	268733
368	4	506903
