onset	duration	imageid
8	4	374743
12	4	296846
16	4	33727
20	4	470641
24	4	203102
28	4	162773
32	4	343596
36	4	408528
40	4	412616
44	4	112997
48	4	246843
52	4	328999
56	4	424304
60	4	527720
64	4	369367
68	4	378137
72	4	324818
76	4	9372
84	4	564465
88	4	46804
92	4	127648
96	4	323827
100	4	319868
104	4	205304
108	4	506748
112	4	555631
116	4	46813
120	4	539589
124	4	9262
128	4	503448
132	4	187055
136	4	280551
140	4	406826
144	4	272219
148	4	259394
156	4	532623
160	4	534140
164	4	456044
168	4	523468
172	4	541472
180	4	194030
184	4	200010
188	4	373284
192	4	284901
196	4	551654
204	4	178026
208	4	530197
212	4	71647
216	4	192576
220	4	480752
224	4	417672
228	4	368595
232	4	2006
236	4	179186
240	4	344870
244	4	278923
248	4	369788
252	4	246446
256	4	382214
260	4	333294
264	4	186784
268	4	237210
272	4	393887
276	4	369126
280	4	194788
284	4	499068
288	4	224778
292	4	111546
296	4	166421
304	4	239452
312	4	269866
316	4	244282
320	4	295103
324	4	242716
328	4	365600
332	4	507667
336	4	486977
340	4	291574
344	4	340419
348	4	361332
352	4	246245
356	4	2690
360	4	460091
364	4	291451
368	4	109425
