onset	duration	imageid
8	4	323263
16	4	307603
20	4	554106
24	4	293372
28	4	378912
32	4	271568
36	4	233090
40	4	162813
44	4	384188
48	4	280187
52	4	16228
56	4	471816
60	4	532612
64	4	3325
68	4	577838
72	4	476106
76	4	166798
80	4	142249
84	4	312937
88	4	415904
92	4	280241
96	4	280018
100	4	576421
104	4	208079
108	4	412390
112	4	470821
116	4	553554
120	4	493601
124	4	180123
128	4	141965
132	4	266680
136	4	330681
140	4	84546
144	4	30156
148	4	541496
152	4	176060
156	4	336414
160	4	512037
164	4	491502
172	4	52412
176	4	264767
180	4	196344
184	4	247838
188	4	335712
192	4	482158
196	4	15497
200	4	171201
204	4	166474
208	4	327401
212	4	166706
216	4	255076
220	4	579725
224	4	549499
228	4	89790
232	4	211631
240	4	540899
244	4	103873
248	4	358174
252	4	489103
256	4	149791
260	4	551710
264	4	293860
268	4	222074
272	4	293914
276	4	541092
280	4	340636
288	4	32578
292	4	347445
296	4	398962
300	4	206363
304	4	196510
308	4	203511
312	4	479372
316	4	33383
320	4	280702
324	4	196313
328	4	207931
332	4	93621
336	4	517936
340	4	174135
344	4	59997
348	4	290619
356	4	228293
360	4	374352
364	4	459978
