onset	duration	imageid
8	4	235953
12	4	358989
20	4	506439
24	4	261022
28	4	202146
36	4	518433
40	4	88021
44	4	297544
48	4	484302
52	4	556399
56	4	191126
60	4	293931
64	4	368474
68	4	293493
72	4	377572
76	4	478518
80	4	528962
84	4	253455
88	4	383580
92	4	579807
96	4	531495
100	4	364234
108	4	579224
112	4	496918
116	4	431240
120	4	265826
124	4	379144
128	4	561750
132	4	175477
136	4	491510
140	4	554040
144	4	238005
148	4	364919
152	4	255123
156	4	337866
160	4	3321
164	4	256309
168	4	276076
172	4	489942
176	4	418297
184	4	262187
188	4	452078
192	4	205272
196	4	431165
204	4	42919
208	4	325523
212	4	301467
216	4	78499
220	4	386164
224	4	413459
228	4	581539
232	4	283005
236	4	223458
240	4	42799
244	4	553753
248	4	554978
252	4	532129
256	4	315
260	4	14380
264	4	415222
268	4	275710
272	4	301885
276	4	272223
280	4	333824
284	4	373196
288	4	175024
292	4	417143
296	4	322392
300	4	509766
304	4	539845
308	4	272080
312	4	237241
316	4	320374
320	4	324049
324	4	119743
328	4	54605
332	4	530869
336	4	81383
340	4	364770
344	4	363173
348	4	467157
352	4	175015
356	4	325548
364	4	372353
368	4	509883
