onset	duration	imageid
8	4	468205
12	4	123633
16	4	257557
20	4	556617
24	4	329755
36	4	151893
40	4	491272
44	4	246982
48	4	439465
52	4	279437
56	4	330676
60	4	284279
64	4	263727
68	4	181626
72	4	322429
76	4	456009
84	4	452909
88	4	560046
92	4	300169
96	4	329546
100	4	537064
104	4	513999
108	4	298573
112	4	326849
116	4	272510
120	4	294714
124	4	205238
128	4	196061
132	4	67972
136	4	264514
140	4	253904
144	4	513805
148	4	3832
152	4	410144
156	4	35434
160	4	255925
164	4	289693
168	4	36622
172	4	180099
176	4	185614
180	4	165271
184	4	523318
188	4	430551
196	4	339550
200	4	561256
204	4	311471
208	4	273637
212	4	400487
216	4	348197
220	4	543371
224	4	259040
228	4	234697
232	4	241522
236	4	174721
240	4	263685
244	4	558910
248	4	198611
252	4	378962
256	4	18136
260	4	403463
264	4	176969
268	4	6894
272	4	456950
280	4	281835
284	4	526204
288	4	541832
292	4	199516
296	4	511789
300	4	501967
304	4	180853
308	4	295426
312	4	391496
316	4	447877
320	4	514800
324	4	418054
332	4	242104
336	4	175336
340	4	338078
344	4	201308
348	4	191477
352	4	166918
356	4	367188
360	4	198930
364	4	76912
368	4	269113
