onset	duration	imageid
8	4	428301
12	4	552235
20	4	99581
24	4	526204
28	4	391460
32	4	295657
36	4	416440
40	4	560054
44	4	520341
48	4	502197
52	4	193488
56	4	211185
60	4	563559
64	4	143151
68	4	372558
72	4	226459
80	4	217034
84	4	237920
88	4	491902
92	4	310278
96	4	537066
100	4	277433
104	4	311471
108	4	199427
112	4	427449
116	4	500877
120	4	3804
124	4	242716
128	4	532610
132	4	299722
136	4	485958
140	4	317322
144	4	425465
148	4	541767
152	4	261858
156	4	93677
160	4	358868
164	4	263453
168	4	337153
172	4	266680
176	4	260172
180	4	275755
184	4	253975
188	4	574940
192	4	567421
196	4	246796
200	4	303069
204	4	499867
208	4	121673
212	4	263036
216	4	288000
220	4	512967
224	4	376009
228	4	561009
232	4	554138
236	4	4739
248	4	213605
252	4	356213
256	4	85089
260	4	282032
264	4	288685
268	4	491837
272	4	489721
276	4	178715
280	4	244496
284	4	106881
288	4	495973
292	4	205875
296	4	424823
300	4	151900
304	4	370337
308	4	403404
312	4	325132
316	4	347790
320	4	478621
324	4	298318
328	4	311925
332	4	540146
336	4	144878
340	4	239888
348	4	288694
352	4	576827
360	4	279259
364	4	456003
368	4	218312
