onset	duration	cueid	targetid
12	4	91	36953
20	4	83	349512
32	4	98	158757
40	4	82	173053
48	4	81	11519
56	4	95	69983
68	4	100	347926
76	4	85	367743
84	4	92	37210
96	4	84	359947
104	4	97	81556
112	4	93	54869
120	4	90	36382
132	4	87	367959
140	4	89	576695
148	4	96	72740
156	4	88	467461
164	4	99	159446
172	4	94	58690
180	4	86	367835
188	4	100	347926
200	4	86	367835
208	4	93	54869
216	4	97	81556
224	4	95	69983
236	4	82	173053
244	4	96	72740
256	4	99	159446
264	4	81	11519
272	4	94	58690
280	4	88	467461
288	4	98	158757
296	4	89	576695
304	4	85	367743
312	4	91	36953
320	4	92	37210
332	4	90	36382
340	4	84	359947
348	4	87	367959
356	4	83	349512
